date,viewes,users
2017-01-01,4534,838
2017-01-02,5132,1096
2017-01-03,5728,1118
2017-01-04,7016,1249
2017-01-05,6892,1266
2017-01-06,8021,1298
2017-01-07,7467,1194
2017-01-08,7715,1223
2017-01-09,8223,1468
2017-01-10,7923,1462
2017-01-11,9752,1634
2017-01-12,8777,1630
2017-01-13,9426,1715
2017-01-14,7448,1261
2017-01-15,7987,1357
2017-01-16,9243,1701
2017-01-17,9123,1692
2017-01-18,9434,1658
2017-01-19,9061,1630
2017-01-20,8964,1507
2017-01-21,6696,1214
2017-01-22,7947,1326
2017-01-23,8828,1563
2017-01-24,8742,1589
2017-01-25,9813,1821
2017-01-26,9230,1709
2017-01-27,8209,1465
2017-01-28,7074,1200
2017-01-29,7711,1319
2017-01-30,14305,7119
2017-01-31,27456,20761
2017-02-01,18417,10482
2017-02-02,15290,7592
2017-02-03,16412,8938
2017-02-04,6646,1251
2017-02-05,7008,1285
2017-02-06,17443,9075
2017-02-07,15203,7031
2017-02-08,10156,1796
2017-02-09,9332,1739
2017-02-10,8864,1664
2017-02-11,6447,1243
2017-02-12,7123,1493
2017-02-13,17926,9450
2017-02-14,14777,7125
2017-02-15,9050,1778
2017-02-16,9735,1870
2017-02-17,8577,1767
2017-02-18,7692,1384
2017-02-19,7396,1443
2017-02-20,16146,8001
2017-02-21,20408,11948
2017-02-22,20051,11455
2017-02-23,6776,1345
2017-02-24,6527,1380
2017-02-25,6330,1291
2017-02-26,6284,1305
2017-02-27,16236,8135
2017-02-28,16516,8380
2017-03-01,9631,1977
2017-03-02,9266,1829
2017-03-03,9528,1889
2017-03-04,7827,1599
2017-03-05,8060,1550
2017-03-06,18904,9075
2017-03-07,22491,13038
2017-03-08,17511,11906
2017-03-09,17983,11162
2017-03-10,16585,10558
2017-03-11,16305,11138
2017-03-12,17698,11857
2017-03-13,19668,12683
2017-03-14,13807,7313
2017-03-15,10236,2019
2017-03-16,9597,1782
2017-03-17,7756,1623
2017-03-18,7211,1331
2017-03-19,7398,1447
2017-03-20,11146,3977
2017-03-21,8649,1854
2017-03-22,8736,1782
2017-03-23,8284,1650
2017-03-24,7905,1660
2017-03-25,6989,1413
2017-03-26,6476,1559
2017-03-27,16295,9285
2017-03-28,13478,6886
2017-03-29,9393,1947
2017-03-30,8947,1865
2017-03-31,10044,1909
2017-04-01,7751,1520
2017-04-02,8886,1730
2017-04-03,12917,5999
2017-04-04,8126,1759
2017-04-05,9265,2303
2017-04-06,9772,1853
2017-04-07,8276,1653
2017-04-08,7477,1236
2017-04-09,6471,1307
2017-04-10,15621,7892
2017-04-11,12176,3225
2017-04-12,10412,1956
2017-04-13,11821,2102
2017-04-14,11434,1899
2017-04-15,8520,1548
2017-04-16,6368,1293
2017-04-17,14666,7271
2017-04-18,7728,1733
2017-04-19,7706,1654
2017-04-20,7753,1574
2017-04-21,8065,1475
2017-04-22,5686,1154
2017-04-23,6059,1217
2017-04-24,12027,5379
2017-04-25,7490,1555
2017-04-26,8134,1613
2017-04-27,7282,1402
2017-04-28,5993,1090
2017-04-29,4736,935
2017-04-30,4904,943
2017-05-01,9628,4908
2017-05-02,6397,1339
2017-05-03,6665,1359
2017-05-04,6935,1374
2017-05-05,6460,1221
2017-05-06,5161,920
2017-05-07,5214,945
2017-05-08,10848,5100
2017-05-09,5286,979
2017-05-10,11135,5423
2017-05-11,8724,1583
2017-05-12,10133,4325
2017-05-13,11691,7153
2017-05-14,6221,1134
2017-05-15,11688,6180
2017-05-16,15148,9338
2017-05-17,8158,1513
2017-05-18,8852,2244
2017-05-19,6932,1262
2017-05-20,4773,946
2017-05-21,6118,1104
2017-05-22,12432,6341
2017-05-23,10957,4692
2017-05-24,7044,1503
2017-05-25,7518,1488
2017-05-26,7403,1491
2017-05-27,6189,1026
2017-05-28,5890,1107
2017-05-29,14720,8405
2017-05-30,7446,1961
2017-05-31,8144,1617
2017-06-01,7806,1503
2017-06-02,7499,1459
2017-06-03,5954,1116
2017-06-04,5896,1205
2017-06-05,15526,8590
2017-06-06,8474,2559
2017-06-07,7277,1473
2017-06-08,7789,1418
2017-06-09,6488,1351
2017-06-10,5469,1001
2017-06-11,5154,968
2017-06-12,9948,5902
2017-06-13,10414,4685
2017-06-14,7125,1502
2017-06-15,7857,1589
2017-06-16,6593,1353
2017-06-17,4052,928
2017-06-18,5318,999
2017-06-19,11777,6365
2017-06-20,10055,4486
2017-06-21,7453,1510
2017-06-22,7306,1512
2017-06-23,6755,1376
2017-06-24,4046,903
2017-06-25,5747,1082
2017-06-26,12112,6486
2017-06-27,10163,4620
2017-06-28,6459,1430
2017-06-29,7183,1485
2017-06-30,7196,1328
2017-07-01,7055,2163
2017-07-02,5799,1336
2017-07-03,14834,7884
2017-07-04,9291,4245
2017-07-05,7204,1562
2017-07-06,7202,1513
2017-07-07,6879,1429
2017-07-08,5546,1118
2017-07-09,5193,1237
2017-07-10,12663,7136
2017-07-11,9011,3872
2017-07-12,17361,3413
2017-07-13,9906,2077
2017-07-14,8604,1749
2017-07-15,5796,1107
2017-07-16,5645,1203
2017-07-17,8140,1688
2017-07-18,6840,1479
2017-07-19,7424,1529
2017-07-20,8303,1549
2017-07-21,6502,1388
2017-07-22,4752,1066
2017-07-23,4741,1050
2017-07-24,6144,1582
2017-07-25,6733,1600
2017-07-26,7480,1490
2017-07-27,7618,1460
2017-07-28,7594,1396
2017-07-29,4817,988
2017-07-30,5983,1170
2017-07-31,6908,1475
2017-08-01,7082,1510
2017-08-02,7401,1622
2017-08-03,7510,1504
2017-08-04,7202,1385
2017-08-05,5456,1026
2017-08-06,4831,1114
2017-08-07,7994,1633
2017-08-08,7816,1594
2017-08-09,6553,1455
2017-08-10,7130,1479
2017-08-11,7589,1439
2017-08-12,4314,1056
2017-08-13,5968,1199
2017-08-14,7878,1686
2017-08-15,8086,1649
2017-08-16,6771,1591
2017-08-17,9333,1739
2017-08-18,9301,1638
2017-08-19,7130,1211
2017-08-20,7594,1390
2017-08-21,11482,4503
2017-08-22,14470,7212
2017-08-23,8839,1719
2017-08-24,8002,1538
2017-08-25,7892,1538
2017-08-26,6584,1293
2017-08-27,7999,1344
2017-08-28,15551,7543
2017-08-29,10130,3719
2017-08-30,10655,1778
2017-08-31,9229,1636
2017-09-01,8594,1423
2017-09-02,7345,1294
2017-09-03,5943,1263
2017-09-04,14265,7516
2017-09-05,11359,3835
2017-09-06,10098,1783
2017-09-07,9653,1768
2017-09-08,10232,1720
2017-09-09,6992,1308
2017-09-10,7279,1342
2017-09-11,17336,9640
2017-09-12,8573,1896
2017-09-13,9532,1854
2017-09-14,8812,1821
2017-09-15,9791,1762
2017-09-16,7792,1470
2017-09-17,7466,1496
2017-09-18,15966,7516
2017-09-19,13247,5836
2017-09-20,9547,1918
2017-09-21,9767,1892
2017-09-22,13134,5842
2017-09-23,6942,2157
2017-09-24,6319,1363
2017-09-25,17058,9564
2017-09-26,8753,2091
2017-09-27,9150,1746
2017-09-28,9792,1798
2017-09-29,9537,1706
2017-09-30,8999,1487
2017-10-01,8734,1575
2017-10-02,17484,9530
2017-10-03,8538,2154
2017-10-04,10129,1959
2017-10-05,10431,1930
2017-10-06,9894,1872
2017-10-07,7544,1499
2017-10-08,8366,2096
2017-10-09,19978,11463
2017-10-10,12860,4925
2017-10-11,9292,1866
2017-10-12,9230,1800
2017-10-13,8798,1800
2017-10-14,7688,1421
2017-10-15,8520,1693
2017-10-16,15175,7117
2017-10-17,9309,1800
2017-10-18,9420,1757
2017-10-19,10844,1798
2017-10-20,8785,1604
2017-10-21,6763,1361
2017-10-22,7234,1464
2017-10-23,15684,8514
2017-10-24,12649,3215
2017-10-25,14173,6749
2017-10-26,13269,4593
2017-10-27,9664,1793
2017-10-28,8578,1624
2017-10-29,8668,1687
2017-10-30,15112,7537
2017-10-31,11928,4519
2017-11-01,9531,1836
2017-11-02,9277,1886
2017-11-03,9901,1749
2017-11-04,8065,1404
2017-11-05,7236,1469
2017-11-06,13724,6410
2017-11-07,11497,4316
2017-11-08,8479,1860
2017-11-09,9781,1989
2017-11-10,9026,1734
2017-11-11,8583,1501
2017-11-12,8203,1669
2017-11-13,9640,2282
2017-11-14,9967,2102
2017-11-15,10716,2034
2017-11-16,13545,3863
2017-11-17,16271,8773
2017-11-18,13047,5898
2017-11-19,8514,1765
2017-11-20,15018,6191
2017-11-21,15220,7276
2017-11-22,10536,1980
2017-11-23,13561,5800
2017-11-24,13521,5127
2017-11-25,7884,1447
2017-11-26,9048,1678
2017-11-27,15748,6508
2017-11-28,12846,4406
2017-11-29,10689,1983
2017-11-30,9565,1735
2017-12-01,17257,7713
2017-12-02,10117,2101
2017-12-03,9772,2413
2017-12-04,21737,8819
2017-12-05,18864,3408
2017-12-06,15570,2867
2017-12-07,14617,2795
2017-12-08,13602,2560
2017-12-09,11429,2187
2017-12-10,12409,2421
2017-12-11,14668,2849
2017-12-12,15043,2697
2017-12-13,15618,2575
2017-12-14,15129,2633
2017-12-15,13874,2469
2017-12-16,11414,1973
2017-12-17,12332,2135
2017-12-18,15432,2658
2017-12-19,14831,2585
2017-12-20,15156,2814
2017-12-21,16221,2776
2017-12-22,13842,2575
2017-12-23,11443,2130
2017-12-24,13867,2541
2017-12-25,17840,3026
2017-12-26,16964,3148
2017-12-27,18882,3477
2017-12-28,18439,3228
2017-12-29,24246,8163
2017-12-30,19121,6845
2017-12-31,8148,1806
2018-01-01,5342,1291
2018-01-02,8509,1541
2018-01-03,6549,1415
2018-01-04,8683,1622
2018-01-05,7768,1554
2018-01-06,8503,1612
2018-01-07,7985,1519
2018-01-08,7982,1710
2018-01-09,14688,6248
2018-01-10,10852,1990
2018-01-11,10224,2110
2018-01-12,10789,2021
2018-01-13,8204,1583
2018-01-14,8761,1720
2018-01-15,10835,1968
2018-01-16,11006,2120
2018-01-17,12907,2445
2018-01-18,11708,2249
2018-01-19,10270,2029
2018-01-20,7483,1548
2018-01-21,7229,1669
2018-01-22,11501,2125
2018-01-23,11506,2318
2018-01-24,11064,2282
2018-01-25,10818,2154
2018-01-26,10766,2066
2018-01-27,8205,1608
2018-01-28,8085,1709
2018-01-29,9400,2048
2018-01-30,9267,1946
2018-01-31,9759,2065
2018-02-01,10896,2130
2018-02-02,10285,1935
2018-02-03,8106,1745
2018-02-04,8359,1633
2018-02-05,10197,2084
2018-02-06,10453,2138
2018-02-07,11191,2204
2018-02-08,10226,2201
2018-02-09,12103,2377
2018-02-10,8331,1795
2018-02-11,7471,1864
2018-02-12,11446,2283
2018-02-13,10800,2205
2018-02-14,9987,2188
2018-02-15,10625,2272
2018-02-16,10116,1962
2018-02-17,8235,1517
2018-02-18,8867,1598
2018-02-19,11398,2245
2018-02-20,10508,2296
2018-02-21,11176,2298
2018-02-22,9973,1982
2018-02-23,7295,1471
2018-02-24,7103,1484
2018-02-25,8214,1600
2018-02-26,10195,2017
2018-02-27,10290,2068
2018-02-28,9851,1999
2018-03-01,11424,2180
2018-03-02,10503,1917
2018-03-03,8200,1653
2018-03-04,9613,2106
2018-03-05,10538,1989
2018-03-06,11513,2437
2018-03-07,11276,2188
2018-03-08,7822,1596
2018-03-09,7150,1612
2018-03-10,8162,1632
2018-03-11,8127,1771
2018-03-12,8823,2150
2018-03-13,9025,1916
2018-03-14,9490,2025
2018-03-15,9711,2106
2018-03-16,8957,1993
2018-03-17,8623,1742
2018-03-18,6884,1539
2018-03-19,8884,1989
2018-03-20,9309,2087
2018-03-21,9002,2112
2018-03-22,10710,2204
2018-03-23,9409,1945
2018-03-24,8203,1686
2018-03-25,8427,1760
2018-03-26,8437,1918
2018-03-27,8417,1826
2018-03-28,8518,1870
2018-03-29,8856,1985
2018-03-30,9704,2104
2018-03-31,9097,1678
2018-04-01,9082,1733
2018-04-02,10110,2124
2018-04-03,11477,2166
2018-04-04,11379,2108
2018-04-05,10472,2216
2018-04-06,10935,2004
2018-04-07,8396,1563
2018-04-08,5309,1273
2018-04-09,7537,1752
2018-04-10,7166,1607
2018-04-11,8608,1678
2018-04-12,8124,1753
2018-04-13,7611,1667
2018-04-14,5793,1307
2018-04-15,6104,1394
2018-04-16,7723,1786
2018-04-17,8164,1735
2018-04-18,8579,1943
2018-04-19,7274,1813
2018-04-20,8157,1749
2018-04-21,7786,1475
2018-04-22,7282,1645
2018-04-23,7628,1683
2018-04-24,6813,1448
2018-04-25,8205,1608
2018-04-26,6758,1592
2018-04-27,6266,1481
2018-04-28,5668,1320
2018-04-29,5008,1079
2018-04-30,4320,1079
2018-05-01,4950,1074
2018-05-02,4976,1107
2018-05-03,4966,1349
2018-05-04,6893,1305
2018-05-05,4937,1131
2018-05-06,5573,1327
2018-05-07,5749,1511
2018-05-08,5851,1433
2018-05-09,5240,1150
2018-05-10,7131,1668
2018-05-11,6476,1576
2018-05-12,4931,1139
2018-05-13,5579,1268
2018-05-14,6200,1348
2018-05-15,7098,1598
2018-05-16,5820,1616
2018-05-17,6356,1732
2018-05-18,6823,1663
2018-05-19,5027,1250
2018-05-20,5470,1279
2018-05-21,6605,1672
2018-05-22,6639,1606
2018-05-23,7051,1617
2018-05-24,7690,1736
2018-05-25,6422,1535
2018-05-26,4941,1119
2018-05-27,4977,1156
2018-05-28,6665,1713
2018-05-29,5938,1625
2018-05-30,5979,1636
2018-05-31,6785,1543
2018-06-01,7403,1578
2018-06-02,5058,1216
2018-06-03,5915,1361
2018-06-04,6479,1651
2018-06-05,7744,1757
2018-06-06,8262,1714
2018-06-07,7233,1739
2018-06-08,8493,1791
2018-06-09,7010,1500
2018-06-10,5394,1246
2018-06-11,5309,1278
2018-06-12,6270,1339
2018-06-13,7322,1758
2018-06-14,6725,1480
2018-06-15,5410,1352
2018-06-16,4923,1092
2018-06-17,5176,1216
2018-06-18,6829,1563
2018-06-19,5762,1500
2018-06-20,7326,1830
2018-06-21,7453,1675
2018-06-22,6297,1441
2018-06-23,4787,1083
2018-06-24,5368,1192
2018-06-25,5831,1427
2018-06-26,5718,1513
